message,subquestion_focus,subquestion_type,answer
how can i solve this in life,Low erection and enlargement,Treatment,"Erection problems  ED drugs are not safe for everyone  Many men now take medications like Viagra, Levitra, and Cialis to treat erection problems. These medications are not safe for everyone. Before taking drugs to treat ED, talk to your doctor about the benefits and risks involved.  Never take Viagra, Levitra, or Cialis if you take heart medicines called nitrates. Doing so could cause a sudden — and dangerous — drop in blood pressure. Also, tell your doctor if you take any drugs called alpha-blockers, which are used to treat prostate enlargement or high blood pressure.  Some men have problems getting or keeping an erection. (An erection is when blood fills up the penis, making it firmer and larger.) This problem is called erectile dysfunction, or ED, and sometimes is called impotence. ED is fairly common. In fact, between 15 million and 30 million U.S. men are affected by it. ED can be very upsetting. It can affect self-esteem and cause frustration, anger, and sadness. But there are effective treatments for ED. And counseling can help you and your partner cope with any emotional effects of ED.  Causes of ED include: •Clogged blood vessels, high blood pressure, and high cholesterol •Nerve damage from diabetes •Certain medicines, including some used to treat depression or high blood pressure •Low testosterone •Unhealthy habits like smoking, drinking too much alcohol, overeating, and not exercising •Emotional factors, such as stress or depression  As men get older, ED becomes more common. By age 65, almost 25 percent of men have this problem at least one out of every four times they have sex. But ED is treatable at any age. Your doctor can offer a number of ways to treat ED. If treatment solves your ED, though, you still need to take care of any health issues that may have caused it.  Some men need to try two or three options before they find an ED treatment that works for them. Medication is one popular way to treat ED. Drugs like Viagra increase blood flow to the penis, which helps make an erection possible. Injections to the penis and medicine you put into the tip of your penis also can increase blood flow to it.  Other treatments for ED include a vacuum cylinder and pump you put on your penis to pull blood into it or inflatable rods that are put into the penis through surgery.  You may have heard of herbal products or dietary supplements that claim to treat ED or improve sexual performance. You should beware of these products even if they claim to be ""natural."" They can contain dangerous ingredients, including prescription medications that are not identified on the product's label."
i ask this as general question can pacemaker help prevent these spasms,Coronary Artery Spasms,Treatment,"Treatment   The goal of treatment is to control chest pain and prevent a heart attack. A medicine called nitroglycerin can relieve an episode of pain.  Your health care provider may prescribe other medications to prevent chest pain. You may need a type of medicine called a calcium channel blocker or a long-acting nitrate long-term. Your doctor may also prescribe a short-acting nitrate to use during an episode of chest pain.  Beta-blockers are another type of medication that may be used. However, beta-blockers may make the condition worse, and may be harmful if used with cocaine.   Outlook (Prognosis)   Coronary artery spasm is a chronic condition. However, treatment usually helps control symptoms.  The disorder may be a sign that you have a high risk for heart attack or potentially deadly irregular heart rhythms (arrhythmias). The outlook is generally good if you follow your doctor's treatment recommendations and avoid certain triggers."
want to know if eyelid droop will be go away,EYELID DROOP,Treatment,"the main goals of ptosis surgery are elevation of the  upper eyelid to permit normal visual development and a  full fi eld of vision, and symmetry with the opposite upper  eyelid. It is important to realize that when operating on an  abnormal muscle, completely normal eyelid position and  function after surgery may not be possible to achieve."
please i really need your reply and your help my wife allergy from all milk products and whenever she drinks or eats any thing contains small amount of any milk products she goes to the hospital i have faith that there is cure for that but i really donno what to say to her she thinks that she will never be cured so please can you tell is there is any cure for milk products allergy any cure or any cure in the very near future i will be very very very grateful if you replied thanks alot,milk products allergy,Treatment,"What kinds of treatments and prevention have been helpful? Joanna: There is no cure for adults with food allergies. Medications like epinephrine injections and antihistamines can treat symptoms, but avoiding the trigger foods and carrying my EpiPen at all times is how I stay safe and healthy."
my 4 months baby ocular albinism can you please help or suggest any medicine to cure him,ocular albinism,Treatment,"Treatment  The goal of treatment is to relieve symptoms. Treatment depends on the severity of the disorder.  Treatment involves protecting the skin and eyes from the sun: •Reduce sunburn risk by avoiding the sun, using sunscreen, and covering up completely with clothing when exposed to the sun. •Sunscreen should have a high sun protection factor (SPF). •Sunglasses (UV protected) may relieve light sensitivity.  Glasses are often prescribed to correct vision problems and eye position. Eye muscle surgery is sometimes recommended to correct abnormal eye movements (nystagmus)."
i do not know if i had chickenpox is there blood test available to tell and if not which vaccine should i get if any,chickenpox,Treatment,"Chickenpox Can Be Serious. Protect Yourself and Your Child. Most children with chickenpox completely recover. But it can be serious, even deadly, for babies, adolescents, adults, and people with weakened immune systems. Get vaccinated if you are not protected against chickenpox."
please help out as to whom to consult for anxiety and depression,anxiety/ depression,Organization,"Anxiety and Depression Association of America, ADAA http://www.adaa.org/"
hello im not satisfied with the solotion in israel for curved penis by birth ill be hapy to read anything usual alternative or and both please make quickk contactthings are slow and difficult,curved penis,Information,"What is Peyronie’s disease?  Peyronie’s disease is a disorder in which scar tissue, called a plaque, forms in the penis—the male organ used for urination and sex. The plaque builds up inside the tissues of a thick, elastic membrane called the tunica albuginea. The most common area for the plaque is on the top or bottom of the penis. As the plaque builds up, the penis will curve or bend, which can cause painful erections. Curves in the penis can make sexual intercourse painful, difficult, or impossible. Peyronie’s disease begins with inflammation, or swelling, which can become a hard scar.  The plaque that develops in Peyronie’s disease is not the same plaque that can develop in a person’s arteries. The plaque seen in Peyronie’s disease is benign, or noncancerous, and is not a tumor. Peyronie’s disease is not contagious or caused by any known transmittable disease."
i had open rnygastric bypass surgeryi have problems with iron i am anemic not enough iron sometimes i have to get iron in infusions once blood transfusion does this have anything to do with not getting enough b 12 i can t drink milk and have hard time eating meat my body is not absorbing iron they did have on b 12 shots now back on pills under my tongues so does this kind of anemic have anything to do with b12 i am 10 yrs out,anemic/ not enough iron,Association,"Follow Your Diet Carefully After gastric bypass surgery, your body will not absorb some important vitamins and minerals. You will need to take these vitamins and minerals for the rest of your life: •Multivitamin with iron •Vitamin B 12 •Calcium (1,200 mg per day) and vitamin D. Your body can absorb only about 500 mg of calcium at a time. Divide your calcium into 2 or 3 doses during the day. Calcium must be taken in the ""citrate"" form.   You may need to take other supplements also."
my sister high level of vitamin d in her systemblood work her specialist can not find the cause would there be any connection with her pituitary had her thyroid gland removed 3 years ago and cancer in breastremoved cancer and had radiationcured 2 years ago,high level of Vitamin D / pituitary,Association,"Is there anything else I should know?   High levels of vitamin D and calcium can lead to the calcification and damage to organs, particularly the kidneys and blood vessels.   If magnesium levels are low, they can cause a low calcium level that is resistant to vitamin D and parathyroid hormone regulation. It may be necessary to supplement both magnesium and calcium to regain normal function."
iam 24yr old turning 25 this yr ive been having unprotected sex with my bf since i was 17 i still havent fall pregnant could something be possibly wrong with,havent fall pregnant,Cause,"What causes infertility in men?  Infertility in men can be caused by different factors and is typically evaluated by a semen analysis. A specialist will evaluate the number of sperm (concentration), motility (movement), and morphology (shape). A slightly abnormal semen analysis does not mean that a man is necessarily infertile. Instead, a semen analysis helps determine if and how male factors are contributing to infertility.   Conditions that can contribute to abnormal semen analyses include—  •Varicoceles, a condition in which the veins on a man’s testicles are large and cause them to overheat. The heat may affect the number or shape of the sperm.  •Medical conditions or exposures such as diabetes, cystic fibrosis, trauma, infection, testicular failure, or treatment with chemotherapy or radiation. •Unhealthy habits such as heavy alcohol use, testosterone supplementation, smoking, anabolic steroid use, and illicit drug use. •Environmental toxins including exposure to pesticides and lead. What causes infertility in women?  Women need functioning ovaries, fallopian tubes, and a uterus to get pregnant. Conditions affecting any one of these organs can contribute to female infertility. Some of these conditions are listed below and can be evaluated using a number of different tests."
i can not eat i have lost 2 stone i have blood leaking can operation get better i do not even have lager can not drink tea or coffee i am getting fed up i have always kept fit had ham salad and chips had to be sick i was 9 stone now i am 7 stone i am size 8 now was size 14 will i get better is there cure i have had this for monthes have stopped all tablets do not trust any think any more will i be like this for the rest of my life,cannot eat,Treatment,"Weight loss - unintentional   Unexplained weight loss is a decrease in body weight, when you did not try to lose the weight on your own.   Many people gain and lose some weight during any year. Loss of 10 pounds OR 5% of your normal body weight over 6-12 months or less, and you don't know the reason.   This problem may also be called unintentional weight loss.    Causes  A loss of appetite may be due to:  •Feeling depressed •Cancer, even when other symptoms are not present •Chronic infection such as AIDS •Chronic illness, such as COPD or Parkinson disease •Drugs, including chemotherapy drugs, and thyroid medications •Drug abuse such as amphetamines and cocaine •Stress or anxiety  Chronic digestive system problems that decrease the amount of calories and nutrients your body absorbs, including: •Diarrhea and other infections that last a long time, such as parasites •Chronic swelling or infection in the pancreas •Removal of part of the small intestine •Overuse of laxatives  Other causes such as: •Eating disorders, anorexia nervosa that have not been diagnosed yet •Diabetes that have not been diagnosed •Overactive thyroid gland   Home Care  Your healthcare provider may suggest changes in your diet and exercise program depending on the cause of your weight loss."
dear maam or sir i have mother who keeps losing weight even though she eats and test and doctor been able to tell her why she keeps losing weightshe also hard time getting to sleep and getting back to sleep after she gotten up to go to the bathroom,losing weight/ hard time getting to sleep,Cause,"When to Contact a Medical Professional  Call your doctor right away if: •You are confused or dizzy •You have blurred vision •You have little or no urine, or recent swelling and weight gain •You have thoughts of harming yourself or of committing suicide  Call your doctor if: •You have unexplained weakness or fatigue, especially if you also have a fever or unintentional weight loss •You have constipation, dry skin, weight gain, or you cannot tolerate cold •You wake up and fall back to sleep many times during the night •You have headaches •You are taking any medications, prescription or non-prescription, or using drugs that may cause fatigue or drowsiness •You feel sad or depressed •You have insomnia"
i have cirrhosis of the liver do high ammonia levels effect breathing i have spells of not being able to breath very well pain,not being able to breath,Association,"ALCOHOLIC CARDIOMYOPATHY  Long-term heavy drinking weakens the heart muscle, causing a condition called alcoholic cardiomyopathy. A weakened heart droops and stretches and cannot contract effectively. As a result, it cannot pump enough blood to sufficiently nourish the organs. In some cases, this blood flow shortage causes severe damage to organs and tissues. Symptoms of cardiomyopathy include shortness of breath and other breathing difficulties, fatigue, swollen legs and feet, and irregular heartbeat. It can even lead to heart failure.  OTHER ALCOHOL-RELATED BRAIN CONDITIONS LIVER DAMAGE THAT AFFECTS THE BRAIN Not only does alcoholic liver disease affect liver function itself, it also damages the brain. The liver breaks down alcohol—and the toxins it releases. During this process, alcohol’s byproducts damage liver cells. These damaged liver cells no longer function as well as they should and allow too much of these toxic substances, ammonia and manganese in particular, to travel to the brain.These substances proceed to damage brain cells, causing a serious and potentially fatal brain disorder known as hepatic encephalopathy."
i was binge drinker for years have trouble walking i am on thiamin 100mg strong vitamin b compound senna so what else can i take,BINGE DRINKER/ HAVE TROUBLE WALKING,Treatment,"However severe the problem may seem, most people with an alcohol use disorder can benefit from treatment. Unfortunately, only of a fraction of people who could benefit from treatment receive help. In 2012, for example, 1.4 million adults received treatment for an AUD at a specialized facility (8.4 percent of adults in need). This included 416,000 women (7.3 percent of women in need) and 1.0 million men (8.9 percent of men in need).  Ultimately, receiving treatment can improve an individual’s chances of success in overcoming an AUD. Talk with your doctor to determine the best course of action for you and see Rethinking Drinking and Treatment for Alcohol Problems: Finding and Getting Help for more information."
what are some treatments for pubic lice,pubic lice,Treatment,"Treatment  MEDICINES  Pubic lice are best treated with a prescription wash containing permethrin, such as Elimite or Kwell: •Thoroughly work the shampoo into dry pubic hair and surrounding area for at least 5 minutes. •Rinse well. •Comb the pubic hair with a fine-toothed comb to remove eggs (nits). Applying vinegar to pubic hair before combing may help loosen nits.   Most people need only 1 treatment. If a second treatment is needed, it should be done 4 days to 1 week later.  Over-the-counter medicines to treat lice include Rid and Nix. Malathione lotion is another option.  OTHER CARE  While you are treating pubic lice: •Wash all clothing and bedding in hot water.  •Spray items that cannot be washed may be sprayed with a medicated spray that you can buy at the store. You can also seal items in plastic bags for 10 - 14 days to smother lice.  •Makes sure anyone with whom you have had sexual contact or shared a bed be treated at the same time.  People with pubic lice should be checked for other sexually-transmitted infections when lice are discovered."
if person been using morphine for years 10for pain reliefand are exhibiting the flulike inability to think or communicate as loving friend could you guessestimate for how long the hell theyre experiencing may last1 week 1 year,USING MORPHINE,Complication,"3.“I’ve heard that Morphine has lots of side effects, and I feel bad enough already.”  All opiates can cause nausea, drowsiness and constipation. However, all side effects will generally stop after a few days, as your body adjusts, and constipation can be easily treated."
hi i have retinitis pigmentosa for 3years im suffering from this disease please intoduce any way to treat mg eyes such as stem cell i am 25 years old and i have only central vision please help thank you,retinitis pigmentosa,Treatment,"How is retinitis pigmentosa treated?  There is no known cure for retinitis pigmentosa. However, there are few treatment options such as light avoidance and/or the use of low-vision aids to slow down the progression of RP. Some practitioners also consider vitamin A as a possible treatment option to slow down the progression of RP. Research suggests taking high doses of vitamin A (15,000 IU/day) may slow progression a little in some people, but the results are not strong. Taking too much vitamin A can be toxic and the effects of vitamin A on the disease is relatively weak. More research must be conducted before this is a widely accepted form of therapy.  Research is also being conducted in areas such as gene therapy research, transplant research, and retinal prosthesis. Since RP is usually the result of a defective gene, gene therapy has become a widely explored area for future research. The goal of such research would be to discover ways healthy genes can be inserted into the retina. Attempts at transplanting healthy retinal cells into sick retinas are being made experimentally and have not yet been considered as clinically safe and successful. Retinal prosthesis is also an important area of exploration because the prosthesis, a man-made device intended to replace a damaged body part, can be designed to take over the function of the lost photoreceptors by electrically stimulating the remaining healthy cells of the retina.Through electrical stimulation, the activated ganglion cells can provide a visual signal to the brain. The visual scene captured by a camera is transmitted via electromagnetic radiation to a small decoder chip located on the retinal surface. Data and power are then sent to a set of electrodes connected to the decoder. Electrical current passing from individual electrodes stimulate cells in the appropriate areas of the retina corresponding to the features in the visual scene."
i am looking for type of physician that specializes in treating leg cramps in the elderly specifically possibly one that provides treatment for leg circulation issues what medical specialty is that called,leg cramps,Organization,"About Osteopathic Medicine  Osteopathic physicians, or DOs, are fully licensed to prescribe medicine and practice in all specialty areas, including surgery. But they also bring something extra to the practice of medicine. DOs receive specialized training in the body's musculoskeletal system, providing them with in-depth knowledge of the ways that illness or injury in one part of the body can affect another."
my mother in law is in the last stage if lung cancer and only days to live my question istesting her and comparing her tests with my husbands and his sisters test help to determine if it is genetic my mother in law and her mother and her mothers sister both had lung cancer and none if them were smokers im real worried about my husband getting lung cancer now and i want find out what we can do to protect himthank you,lung cancer,Susceptibility,"Personal or Family History of Lung Cancer  If you are a lung cancer survivor, there is a risk that you may develop another lung cancer, especially if you smoke. Your risk of lung cancer may be higher if your parents, brothers or sisters, or children have had lung cancer. This could be true because they also smoke, or they live or work in the same place where they are exposed to radon and other substances that can cause lung cancer."
how to stop snoring,snoring,Treatment,"What you can do in the meantime   While you're waiting to see your doctor, here are some tips you can try:  •Don't drink alcohol or take sedatives before bed.  •Try over-the-counter nasal strips.  •Sleep on your side, instead of your back.  •If nasal congestion is an issue, try an over-the-counter decongestant for a day or two."
i have problem with severe pain when i try to get up or put pressure on my left leg should i see an orthopedic doctor what might cause this pulled muscle spinal injury damaged disc,pain  left leg,Organization,"Resources Links   American Academy of Hospice and Palliative Medicine: www.aahpm.org  American Academy of Pain Management: www.aapainmanage.org  American Academy of Pain Medicine: www.painmed.org  American Academy of Physical Medicine and Rehabilitation: www.aapmr.org  American Academy of Physician Assistants: www.aapa.org  American Board of Pain Medicine: www.abpm.org  American Chronic Pain Association: www.theacpa.org  American Headache Society: www.americanheadachesociety.org  American Medical Association: www.ama-assn.org  American Nurses Association: www.ana.org  American Pain Society: www.ampainsoc.org  American Society for Addiction Medicine: www.asam.org  American Society for Pain Management Nursing: www.aspmn.org  American Society of Anesthesiologists: www.asahq.org  American Society of Pain Educators: www.paineducators.org  American Society of PeriAnesthesia Nurses: www.aspan.org  American Society of Regional Anesthesia and Pain Medicine: www.asra.com  APhA/Pain Management Partnership: www.pharmacist.com  Association of American Medical Colleges/MedEdPORTAL: www.aamc.org  CDC, National Center for Health Statistics: www.cdc.gov/nchs  Center to Advance Palliative Care: www.capc.org  Dannemiller Memorial Education Foundation: www.dannemiller.com  Department of Pain Medicine and Palliative Care/Beth Israel Medical Center: www.stoppain.org  Hospice and Palliative Nurses Association: www.hpna.org  Institute for Healthcare Improvement: www.ihi.org  Institute for Safe Medication Practices: www.ismp.org  International Association for Hospice & Palliative Care: www.hospicecare.com  International Association for the Study of Pain: www.iasp-pain.org  The Joint Commission: www.jointcommission.org  National Association for Healthcare Quality: www.nahq.org  National Association of State Controlled Substance Authorities: www.nascsa.org  National Coordinating Council for Medication Error Reporting and Prevention: www.nccmerp.org  National Hospice and Palliative Care Organization: www.nhpco.org  Pain and Palliative Care Resource Center/City of Hope: prc.coh.org  Pain and Policy Studies Group/Wisconsin University: www.painpolicy.wisc.edu  Pain.com: www.pain.com  Pain Treatment Topics: www.pain-topics.org  Promoting Excellence in End-of-Life Care: www.promotingexcellence.org  Shaare Zedek Cancer Pain and Palliative Care Reference Database: www.chernydatabase.org  Society for Pain Practice Management: www.sppm.org  Substance Abuse and Mental Health Services Administration: www.samhsa.gov  United States Pharmacopeial Convention: www.usp.org  Wisconsin Pain Initiative: www.aspi.wisc.edu/wpi"
can lipnodes and or liver cancer be detected in upper gi,LIVER CANCER,Diagnosis,"Tests that examine the liver and the blood are used to detect (find) and diagnose adult primary liver cancer. The following tests and procedures may be used:  Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patient’s health habits and past illnesses and treatments will also be taken.  Serum tumor marker test : A procedure in which a sample of blood is examined to measure the amounts of certain substances released into the blood by organs, tissues, or tumor cells in the body. Certain substances are linked to specific types of cancer when found in increased levels in the blood. These are called tumor markers. An increased level of alpha-fetoprotein (AFP) in the blood may be a sign of liver cancer. Other cancers and certain noncancerous conditions, including cirrhosis and hepatitis, may also increase AFP levels. Sometimes the AFP level is normal even when there is liver cancer. Liver function tests : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by the liver. A higher than normal amount of a substance can be a sign of liver cancer. CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, such as the abdomen, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography. Images may be taken at three different times after the dye is injected, to get the best picture of abnormal areas in the liver. This is called triple-phase CT. A spiral or helical CT scan makes a series of very detailed pictures of areas inside the body using an x-ray machine that scans the body in a spiral path. MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body, such as the liver. This procedure is also called nuclear magnetic resonance imaging (NMRI). To create detailed pictures of blood vessels in and near the liver, dye is injected into a vein. This procedure is called MRA (magnetic resonance angiography). Images may be taken at three different times after the dye is injected, to get the best picture of abnormal areas in the liver. This is called triple-phase MRI. Ultrasound exam: A procedure in which high-energy sound waves (ultrasound) are bounced off internal tissues or organs and make echoes. The echoes form a picture of body tissues called a sonogram. The picture can be printed to be looked at later.  Biopsy : The removal of cells or tissues so they can be viewed under a microscope by a pathologist to check for signs of cancer. Procedures used to collect the sample of cells or tissues include the following: Fine-needle aspiration biopsy : The removal of cells, tissue or fluid using a thin needle. Core needle biopsy : The removal of cells or tissue using a slightly wider needle. Laparoscopy : A surgical procedure to look at the organs inside the abdomen to check for signs of disease. Small incisions (cuts) are made in the wall of the abdomen and a laparoscope (a thin, lighted tube) is inserted into one of the incisions. Another instrument is inserted through the same or another incision to remove the tissue samples. A biopsy is not always needed to diagnose adult primary liver cancer."
right leg little finger been fractured an i have applied lecoplast in that fingerbut now the leg is been swellingproblem is that i cant restbusy with my workplz help what shall i do to avoid swelling,swelling leg,Treatment,"Home Care  Some tips that may help: •Raise your legs above your heart while lying down. •Exercise your legs. This helps pump fluid from your legs back to your heart. •Follow a low-salt diet, which may reduce fluid buildup and swelling. •Wear support stockings (sold at most drug and medical supply stores). •When traveling, take breaks often to stand up and move around. •Avoid wearing tight clothing or garters around your thighs. •Lose weight if you need to.  Never stop taking any medicines you think may be causing swelling without first talking to your doctor."
is there something available in english or spanish about physiotherapy specific for ankle arthritis just to know something more there is case in my family and it is being followed by both physician and physiotherapist my email is jfuksoicombrgt thanks jayme fuks,ankle arthritis,Information,"PHYSICAL THERAPY  Physical therapy can help improve muscle strength and the motion of stiff joints as well as your balance. If therapy does not make you feel better after 6 to 8 weeks, then it likely will not work at all.  Massage therapy may provide short-term pain relief. Make sure you work with a licensed massage therapist who is experienced in working on sensitive joints."
how many percent of change to survive if level 4,liver cancer,Prognosis,"Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) and treatment options depend on the following:  The stage of the cancer (the size of the tumor, whether it affects part or all of the liver, or has spread to other places in the body). How well the liver is working. The patient’s general health, including whether there is cirrhosis of the liver."
hi my name is mahmoud my his age 4 month discovered it leigh disease infected from the mother side and we have full family history with the leigh disease my daughter she lived for 7 years with the same disease we have her hospital reports it is confirmed leigh disease kindly if there is any hope for my with epi743 treatment and we are appreciate to accept him in the treatment study i have full reports for my and the mri and all of it under your request hope get your help asap because is in the first stage and we have we are all hope will be better best regards mahmoud hassan,leigh disease,Treatment,"Is there any treatment?  The most common treatment for Leigh's disease is thiamine or Vitamin B1. Oral sodium bicarbonate or sodium citrate may also be prescribed to manage lactic acidosis. Researchers are currently testing dichloroacetate to establish its effectiveness in treating  lactic acidosis. In individuals who have the X-linked form of Leigh’s disease, a high-fat, low-carbohydrate diet may be recommended."
hi i wish to enquire about what other noninvasive alternatives are there in diagnosing brain injury other than an invasive mrict or pet scan patient family history of cancer and is afraid of being exposed to radiation and is also fitted with metal discs to her neck and spine after she developed scoliosis and osteoporosis she lives in australia your urgent reply would be much appreciated marie,brain injury,Diagnosis,"How do health care providers diagnose traumatic brain injury (TBI)? To diagnose TBI, health care providers may use one or more tests that assess a person's physical injuries, brain and nerve functioning, and level of consciousness."
what is the best way to naturally treat 7 yr old boy with adhd without prescription medicine,ADHD,Treatment,"Different types of psychotherapy are used for ADHD. Behavioral therapy aims to help a child change his or her behavior. It might involve practical assistance, such as help organizing tasks or completing schoolwork, or working through emotionally difficult events. Behavioral therapy also teaches a child how to monitor his or her own behavior."
please help with my brother with lockedin syndrome in martinique for 3 yearssomebody please help god bless henri 6316435692,locked-in syndrome,Information,"A therapy called functional neuromuscular stimulation, which uses electrodes to stimulate muscle reflexes, may help activate some paralyzed muscles. Several devices to help communication are available. Other treatment is symptomatic and supportive."
i have had tourette syndrome since age seven recently at the age of 72 i had an implantation of shunt for hydrocephalus what is the probability of one having both hydrocephalus and tourette syndrome is there any evidence that indicates that the head and neck tics of tourette syndrome may be cause of hydrocephalus,Tourette syndrome,Susceptibility,"What disorders are associated with TS?  Many individuals with TS experience additional neurobehavioral problems that often cause more impairment than the tics themselves.  These include inattention, hyperactivity and impulsivity (attention deficit hyperactivity disorder—ADHD);   problems with reading, writing, and arithmetic; and obsessive-compulsive symptoms such as intrusive thoughts/worries and repetitive behaviors. For example, worries about dirt and germs may be associated with repetitive hand-washing, and concerns about bad things happening may be associated with ritualistic behaviors such as counting, repeating, or ordering and arranging.  People with TS have also reported problems with depression or anxiety disorders, as well as other difficulties with living, that may or may not be directly related to TS.  In addition, although most individuals with TS experience a significant decline in motor and vocal tics in late adolescence and early adulthood, the associated neurobehavioral conditions may persist.  Given the range of potential complications, people with TS are best served by receiving medical care that provides a comprehensive treatment plan."
i got hurt in my left leg ankle almost 5 months ago i went to doctor got xray where damage was found suggested some pain killers and advised to wear anklet i have been following the instruction since then i went to another doctor who advised to go for physiotherapy short wave diathermy and advised some exercises i have been following them too but yet now i have not been fully recovered from the pain especially when i try to walk quickly or try to put pressure with my left leg i feel pain i am very tensed about this can you please suggest how to overcome the pain thanks,Ankle injury,Treatment,"Oral anti-inflammatory medication, such as ibuprofen, can be used to decrease pain, swelling, and inflammation."
dear doctor i am male of 39 years and facing problem of sexual weekness erection is ok once my penis stand up and after some seconds its become down like dead i also feel size is also came down i am worried kindly suggest medicine for such disease i shall be very great full to you regards faisal ramzan dubai united arab emirates,sexual dysfunction,Treatment,"TREATING MALE SEXUAL DYSFUNCTION • For psychological causes of sexual dysfunction, such as relationship problems, counseling, either individually or as a couple, may be beneficial. Sexual therapy with a therapist who specializes in sexual dysfunction may also help. • Depression or anxiety disorders may need treatment. • Any physical problems that may be affecting sexual function should be addressed. • If a medication is interfering with sexual function, it may be possible to change or discontinue the medication. • Prescription medications that treat erectile dysfunction may help a man achieve and maintain erections. • Hormonal treatment, such as testosterone replacement therapy, may help with hormone imbalances that are contributing to sexual dysfunction."
my teeth gum blood coming what medicine i use,gum blood,Treatment,"Your dentist may recommend:      Having professional teeth cleaning in addition to brushing and flossing twice a year, or more often for worse cases of gum disease.     Using antibacterial mouth rinses or other aids     Getting misaligned teeth repaired     Replacing dental and orthodontic appliances"
heard of some people with this condition getting some relief from drug called topamaxbut saw nothing about it on sites any info would be great thanks,cyclic vomiting,Treatment,"Recent case reports of adult and child CVS patients with epileptiform activity on electroencephalography have shown response to antiepileptic drugs, including carbamazepine and topiramate."
want to know latest development in lung cancer treatment my friends wife age 45 name kushum agarwal raigadh c gindia suffering with this diseasewill be taking first dose of almita pemetrexed on thrusday that is after four days pl add my email id,lung cancer,Treatment,Treatment Option Overview (Non-Small Cell Lung Cancer) From the National Institutes of Health (National Cancer Institute) Treatment Option Overview (Small Cell Lung Cancer) From the National Institutes of Health (National Cancer Institute) Treatment Options by Stage (Non-Small Cell Lung Cancer) From the National Institutes of Health (National Cancer Institute) Treatment Options by Stage (Small Cell Lung Cancer) From the National Institutes of Health (National Cancer Institute)
i have had two surgeries on my right forearm the last was 2 years ago the lipoma returned are there any new treatments or experimental procedures that might help,lipoma,Treatment,"As research in localized fat reduction has improved, therapies successful in this domain have been applied to the management of lipomas as a surgical alternative. In this review article, the authors review the basic science of injection therapies used in the management of lipomas as well as their potential efficacy and limitations."
my 3yrs old boy found my bleach at the laundry and i suspect swallowed bit of it how do i treat this pls,swallowed a bit of bleach,Treatment,"If the chemical was swallowed, immediately give the person water or milk, unless instructed otherwise by a health care provider. Do not give water or milk if the patient is having symptoms (such as vomiting, convulsions, or a decreased level of alertness) that make it hard to swallow."
respected sir i humbly want to say you thanx for making this website i am sunil from india and i want to help myself by you please help sir i will greatful to yosorry sir my english is not so good masturbation is my hobby its my taboo really sir now i am tired i want to change myself please sir give some suggestions this is bad habit in my life but i am also bright student since last year i am crying sorry please help sir plzz rply in my id and wish luck i know you have golden heart,masturbation,Treatment,Make an appointment with your doctor whenever you have any questions concerning masturbation or other aspects of sexuality.
hi whats the best over the counter medications for losing this weight i need to try something but i dont want any surgery done,weight,Treatment,"It's important to do your homework if you're thinking about trying over-the-counter weight-loss pills. General information about many dietary supplements is available at the website of the National Center for Complementary and Alternative Medicines. The Natural Medicines Comprehensive Database summarizes research regarding dietary supplements and herbal products. Although the database is only available by subscription, you may be able to access it through a public library. The following table shows common weight-loss pills and what the research shows about their effectiveness and safety."
what info you might have on hyperbaric treatment or results for meneires disease,Meniere's disease,Treatment,"Fattori et al, Audiology 35(6):322-34, 1996. These authors report the results of treatment for 15 days with 90 min. sessions of a pressure chamber. They report better hearing results in the treated patients. Comment: lacking a reasonable mechanism and also considering the general problems with placebo responses in Menieres (see the classic paper entitled Old and New in Menieres, by N. Torok), this treatment remains unsubstantiated."
dear sir my daughter 4 years is by birth bilateral severe hearing loss but we are giving regular hearing aid trial and speech language therapyshe not respond doctor is suggested cochlear implant give suggestion,bilateral severe hearing loss,Treatment,"Both children and adults can be candidates for cochlear implants. People who are candidates for this device may have been born deaf or become deaf after learning to speak. Children as young as 1 year old are now candidates for this surgery. Although criteria are slightly different for adults and children, they are based on similar guidelines: The person should be completely or almost completely deaf in both ears, and get almost no improvement with hearing aids. Anyone who can hear well enough with hearing aids is not a good candidate for cochlear implants."
i am someone who is out to get information about the developments in strabismus lazy eye correction i will need information about all of the therapy that is possible involving the adult stem cell research therapy that will make certain the brain will be fully retrained with this after the surgery been done this real important call either 7159528520 or 7153404012,strabismus,Treatment,People with strabismus have several treatment options available to improve eye alignment and coordination. They include: eyeglasses or contact lenses prism lenses vision therapy eye muscle surgery
